doi,title,subject,author1,author2,author3,author4,author5,author6,author7,author8,keyword,status
10.22452/1/V000,Lose tonight talk.,Art,Erica Long,Alexandra Raymond,April Mccormick,Larry Ball,George Smith,Melissa Stewart,Norman Lucas,Robert Kim,Keyword_0,deleted
10.22452/2/V001,Over always security whom.,History,Lisa Goodman,,,,,,,,Keyword_1,approved
10.22452/3/V002,Commercial than born thus stage dream.,Art,Annette Wilson,Zachary Reed,,,,,,,Keyword_2,submitted
10.22452/4/V003,Owner exist work across.,Psychology,Erika Nixon,,Douglas Dillon,,,,,,Keyword_3,deleted
10.22452/5/V004,Education here American significant school certain break.,Mathematics,Ryan Bell,Anthony Diaz,,Emily Jones,,,,,Keyword_4,approved
10.22452/6/V005,Attorney ok marriage probably unit house.,Artificial Intelligence,Carlos Boyle,,,,Christina Berry,,,,Keyword_5,submitted
10.22452/7/V006,Whole doctor ever artist.,Literature,Leon Harris,Casey Leblanc,Mrs. Rebecca Kelly MD,,,Curtis Miller,,,Keyword_6,deleted
10.22452/8/V007,Civil security success notice popular relationship knowledge series.,Physics,Chelsea Garrison,,,,,,William King,,Keyword_7,approved
10.22452/9/V008,Morning entire television economic.,Artificial Intelligence,Alyssa Chang,Grant Jenkins,,Derrick Bernard,,,,Mikayla Jones,Keyword_8,submitted
10.22452/10/V009,Her including great focus she push clearly feeling.,Mathematics,David Hayes,,Karen Ramos,,,,,,Keyword_9,deleted
10.22452/11/V010,Suffer tough since.,Fiction,Henry Myers,Tamara Campbell,,,Holly Combs,,,,Keyword_10,approved
10.22452/12/V011,Lawyer effort decision sort phone blood.,Chemistry,James Johnson,,,,,,,,Keyword_11,submitted
10.22452/13/V012,Get thousand big its threat.,Artificial Intelligence,Patrick Nelson,Christopher Smith,Johnny Garcia,Evan King,,Brittany Adams,,,Keyword_12,deleted
10.22452/14/V013,Visit better order seat everyone four nation.,Economics,Melissa Howell MD,,,,,,,,Keyword_13,approved
10.22452/15/V014,Top lawyer day choose his give these support.,Mathematics,Regina Espinoza,Wendy Nguyen,,,,,Jesse Huynh,,Keyword_14,submitted
10.22452/16/V015,Really although price else perform.,Mathematics,Veronica Nguyen,,Meghan Clark,,Anthony Villegas,,,,Keyword_15,deleted
10.22452/17/V016,Beautiful with four management camera.,Art,Jennifer Macias,Julie Cruz,,Jessica Glover,,,,Alicia Sanford,Keyword_16,approved
10.22452/18/V017,Opportunity possible decade few second shake.,Artificial Intelligence,Colin Kerr,,,,,,,,Keyword_17,submitted
10.22452/19/V018,Church simple despite to else.,Education,David Garcia,Gregory Mckinney,Tara Clark,,,Marcus Reed,,,Keyword_18,deleted
10.22452/20/V019,One use beat six live.,History,Yolanda Lewis,,,,,,,,Keyword_19,approved
10.22452/21/V020,Letter check trial nation fight.,Technology,Christopher Mclaughlin,Dawn Griffin,,Jimmy Benton,Billy Shaw,,,,Keyword_20,submitted
10.22452/22/V021,Next beautiful put blue yourself.,Fiction,Anthony Davidson,,Elizabeth Roberts,,,,Dawn Werner,,Keyword_21,deleted
10.22452/23/V022,Pick language read foreign.,Technology,Charlotte Morris,Michele Burton,,,,,,,Keyword_22,approved
10.22452/24/V023,Interview both move choice table pressure.,Physics,Gregory Levine,,,,,,,,Keyword_23,submitted
10.22452/25/V024,Other group million now beat.,Physics,Alan Lopez,Shannon Carson,Sonya Jones,Scott Burgess,,Christina Myers,,Michelle Sanders,Keyword_24,deleted
10.22452/26/V025,Guy buy full.,Technology,Lisa Miller,,,,Jesus Becker,,,,Keyword_25,approved
10.22452/27/V026,Of among agent staff would situation listen.,Philosophy,Robert Castro,Thomas Scott,,,,,,,Keyword_26,submitted
10.22452/28/V027,Writer arm who.,Mathematics,Melissa Rogers,,Shane Short DDS,,,,,,Keyword_27,deleted
10.22452/29/V028,Standard local scientist also.,History,Mrs. Sarah Townsend,Andrea Johnson,,Austin Moore,,,John Walker,,Keyword_28,approved
10.22452/30/V029,Almost red any activity dinner between listen.,Art,Rebecca Gates,,,,,,,,Keyword_29,submitted
10.22452/31/V030,Performance believe party cut.,Education,Melinda Frazier,Carlos Chan,Stephen Reeves,,Sherri Christian,Stacy Cruz,,,Keyword_30,deleted
10.22452/32/V031,Production set test protect seek.,Art,Sabrina Gonzalez,,,,,,,,Keyword_31,approved
10.22452/33/V032,Mind son worker money.,Sociology,Veronica Thompson,Christian Orozco,,Cynthia Mayo,,,,Michael Campbell,Keyword_32,submitted
10.22452/34/V033,Good sea particular matter performance billion work.,Literature,Gregory Shannon,,Jacob Powers,,,,,,Keyword_33,deleted
10.22452/35/V034,Science road support sometimes region.,Literature,Stacie Jackson,William Blanchard,,,,,,,Keyword_34,approved
10.22452/36/V035,Week her hair real.,Mathematics,John Lyons,,,,Melissa Bautista,,Taylor Richard,,Keyword_35,submitted
10.22452/37/V036,Whom cost then me president prepare.,Philosophy,William Werner,Leslie Owens,Michael Salazar,James Rush,,Barbara Smith,,,Keyword_36,deleted
10.22452/38/V037,Result scientist that far something gas happen push.,Artificial Intelligence,Nathan Collins,,,,,,,,Keyword_37,approved
10.22452/39/V038,Individual sure admit your tough.,Mathematics,Paul Wilkerson,John Watson,,,,,,,Keyword_38,submitted
10.22452/40/V039,Step reason doctor difference base likely end Mrs.,Physics,Patrick Davis,,Lisa Neal,,,,,,Keyword_39,deleted
10.22452/41/V040,Especially safe production east name history power ok.,Psychology,Clifford Garza,Anthony Hebert,,Amanda Nelson,Bobby Logan,,,Natalie Owens,Keyword_40,approved
10.22452/42/V041,Size cell religious want single.,Technology,Tanya Martin,,,,,,,,Keyword_41,submitted
10.22452/43/V042,Recent base full seem blood approach scene like.,Biology,Kara Gutierrez,Jonathan Smith,Anna Parker,,,Brenda Short,David Robinson,,Keyword_42,deleted
10.22452/44/V043,Kid in so question service election.,History,James Tapia,,,,,,,,Keyword_43,approved
10.22452/45/V044,National author different.,Technology,Danielle Thompson,Kelsey Miller,,Jeffery Johnson,,,,,Keyword_44,submitted
10.22452/46/V045,Economic yeah several.,Technology,William Houston,,Tiffany Yates,,Virginia Clark,,,,Keyword_45,deleted
10.22452/47/V046,Defense difference during near investment job century.,Technology,Benjamin Klein,Melissa Smith,,,,,,,Keyword_46,approved
10.22452/48/V047,The trial foreign service nothing various power.,Physics,Kenneth Nelson,,,,,,,,Keyword_47,submitted
10.22452/49/V048,Interesting world stage father more.,Art,James Mccann,Brenda Hampton,James Moss,Susan Johnson,,Pamela Herrera,,Alexandra Howard,Keyword_48,deleted
10.22452/50/V049,Become development nation house.,Physics,Kevin Edwards,,,,,,Carol Harris,,Keyword_49,approved
